0.205,1.000,6.500
0.235,0.300,4.400
0.265,1.900,3.700
0.355,2.200,1.100
0.520,0.400,0.600
0.642,0.400,0.500
0.778,1.000,0.300
0.810,1.000,0.500
0.864,1.300,0.200
0.865,1.500,1.300
0.900,1.900,0.500
0.910,0.400,0.400
0.969,1.300,0.300
0.970,0.900,0.200
0.971,1.300,0.500
1.060,1.400,0.200
1.087,2.100,0.300
1.130,1.900,0.200
1.170,2.400,0.200
1.207,2.300,0.100
1.210,2.000,0.200
1.215,2.600,0.300
1.250,2.500,0.100
1.320,2.100,0.100
1.372,2.300,0.300
1.380,2.200,0.100
1.384,2.800,0.200
1.450,3.000,0.100
1.453,2.400,0.300
1.490,1.900,0.100
1.480,2.500,0.100
1.710,2.000,0.100
1.870,2.500,0.100
1.960,2.900,0.200
1.970,2.700,0.200
2.110,4.000,0.200
2.130,2.500,0.100
2.310,3.700,0.200
2.530,3.500,0.200
2.720,4.200,0.200
