0.5,42.9
0.59,40.9
0.66,37
0.83,32.5
0.94,32
1.08,31.8
1.11,35.72
1.19,30.7
1.24,31.1
1.28,31.7
1.29,38.64
1.41,39.44
1.59,39.2
1.61,39.77
1.66,40.09
1.78,40.56
1.86,41.22
1.94,41.53
1.95,41.48
2.08,41.91
2.21,42.17
2.28,42.5
2.45,42.68
2.59,42.89
2.68,42.96
2.7,42.93
2.82,43.02
2.86,43.04
2.96,43.11
2.99,43.12
3.05,42.98
3.11,43.23
3.14,43.12
3.27,37.1
3.28,42.81
3.3,42.99
3.44,42.58
3.55,42.52
3.91,42.53
4.04,42.5
4.26,42.28
4.51,36.8
4.55,42.26
4.97,42.07
5.22,42.02
5.53,42.03
5.82,41.82
5.83,37
6,42.6
7.75,37.6
7.84,41.33
8,41.8
10,41.5
12,40.4
14,40.2
15,39.68
16,40.2
18,39.2
19.8,38.7
20,39.06
20,38.7
22,38.2
23,38.52
25,38.79
30,38.84
35,39.15
35,38.58
40,38.65
45,38.28
50,38.96
50,38.86
50,38.5
55,38.35
60,38.51
70,38.95
100,38.96
100,38.85
120,39.02
150,39.07
150,39.02
170,39.18
200,39.27
200,39.18
240,39.5
280,39.53
310,39.75
340,39.72
370,40.01
